FIPS	State	Area_Name	Rural-urban_Continuum Code_2003	Rural-urban_Continuum Code_2013
00000	US	United States		
01000	AL	Alabama		
01001	AL	Autauga County	2	2
01003	AL	Baldwin County	4	3
01005	AL	Barbour County	6	6
01007	AL	Bibb County	1	1
01009	AL	Blount County	1	1
01011	AL	Bullock County	6	6
01013	AL	Butler County	6	6
01015	AL	Calhoun County	3	3
01017	AL	Chambers County	6	6
01019	AL	Cherokee County	8	6
01021	AL	Chilton County	1	1
01023	AL	Choctaw County	9	9
01025	AL	Clarke County	7	7
01027	AL	Clay County	9	9
01029	AL	Cleburne County	8	8
01031	AL	Coffee County	6	4
01033	AL	Colbert County	3	3
01035	AL	Conecuh County	9	7
01037	AL	Coosa County	8	8
01039	AL	Covington County	7	6
01041	AL	Crenshaw County	8	8
01043	AL	Cullman County	6	4
01045	AL	Dale County	4	4
01047	AL	Dallas County	4	4
01049	AL	DeKalb County	6	6
01051	AL	Elmore County	2	2
01053	AL	Escambia County	6	6
01055	AL	Etowah County	3	3
01057	AL	Fayette County	6	6
01059	AL	Franklin County	6	6
01061	AL	Geneva County	3	3
01063	AL	Greene County	3	8
01065	AL	Hale County	3	3
01067	AL	Henry County	3	3
01069	AL	Houston County	3	3
01071	AL	Jackson County	6	6
01073	AL	Jefferson County	1	1
01075	AL	Lamar County	9	8
01077	AL	Lauderdale County	3	3
01079	AL	Lawrence County	3	3
01081	AL	Lee County	3	3
01083	AL	Limestone County	2	2
01085	AL	Lowndes County	2	2
01087	AL	Macon County	6	6
01089	AL	Madison County	2	2
01091	AL	Marengo County	7	7
01093	AL	Marion County	8	7
01095	AL	Marshall County	4	4
01097	AL	Mobile County	2	2
01099	AL	Monroe County	7	7
01101	AL	Montgomery County	2	2
01103	AL	Morgan County	3	3
01105	AL	Perry County	8	8
01107	AL	Pickens County	8	3
01109	AL	Pike County	6	6
01111	AL	Randolph County	6	6
01113	AL	Russell County	2	2
01115	AL	St. Clair County	1	1
01117	AL	Shelby County	1	1
01119	AL	Sumter County	8	8
01121	AL	Talladega County	4	4
01123	AL	Tallapoosa County	6	6
01125	AL	Tuscaloosa County	3	3
01127	AL	Walker County	1	1
01129	AL	Washington County	8	8
01131	AL	Wilcox County	8	9
01133	AL	Winston County	6	6
02000	AK	Alaska		
02013	AK	Aleutians East Borough	9	9
02016	AK	Aleutians West Census Area	7	9
02020	AK	Anchorage Municipality	2	2
02050	AK	Bethel Census Area	7	7
02060	AK	Bristol Bay Borough	9	9
02068	AK	Denali Borough	8	8
02070	AK	Dillingham Census Area	9	9
02090	AK	Fairbanks North Star Borough	3	3
02100	AK	Haines Borough	9	9
02105	AK	Hoonah-Angoon Census Area		9
02110	AK	Juneau City and Borough	5	5
02122	AK	Kenai Peninsula Borough	7	7
02130	AK	Ketchikan Gateway Borough	7	7
02150	AK	Kodiak Island Borough	7	7
02158	AK	Kusilvak Census Area	9	9
02164	AK	Lake and Peninsula Borough	9	9
02170	AK	Matanuska-Susitna Borough	2	2
02180	AK	Nome Census Area	7	7
02185	AK	North Slope Borough	7	7
02188	AK	Northwest Arctic Borough	7	7
02195	AK	Petersburg Borough		9
02198	AK	Prince of Wales-Hyder Census Area		9
02220	AK	Sitka City and Borough	7	7
02230	AK	Skagway Municipality		9
02240	AK	Southeast Fairbanks Census Area	8	9
02261	AK	Valdez-Cordova Census Area	9	9
02275	AK	Wrangell City and Borough		9
02282	AK	Yakutat City and Borough	9	9
02290	AK	Yukon-Koyukuk Census Area	8	9
04000	AZ	Arizona		
04001	AZ	Apache County	6	6
04003	AZ	Cochise County	4	3
04005	AZ	Coconino County	3	3
04007	AZ	Gila County	4	4
04009	AZ	Graham County	6	7
04011	AZ	Greenlee County	7	7
04012	AZ	La Paz County	6	6
04013	AZ	Maricopa County	1	1
04015	AZ	Mohave County	4	3
04017	AZ	Navajo County	4	4
04019	AZ	Pima County	2	2
04021	AZ	Pinal County	1	1
04023	AZ	Santa Cruz County	4	4
04025	AZ	Yavapai County	3	3
04027	AZ	Yuma County	3	3
05000	AR	Arkansas		
05001	AR	Arkansas County	6	6
05003	AR	Ashley County	7	7
05005	AR	Baxter County	7	7
05007	AR	Benton County	2	2
05009	AR	Boone County	7	7
05011	AR	Bradley County	6	7
05013	AR	Calhoun County	9	9
05015	AR	Carroll County	6	6
05017	AR	Chicot County	7	7
05019	AR	Clark County	7	7
05021	AR	Clay County	7	7
05023	AR	Cleburne County	6	6
05025	AR	Cleveland County	3	3
05027	AR	Columbia County	7	7
05029	AR	Conway County	6	6
05031	AR	Craighead County	3	3
05033	AR	Crawford County	2	2
05035	AR	Crittenden County	1	1
05037	AR	Cross County	6	6
05039	AR	Dallas County	6	6
05041	AR	Desha County	6	6
05043	AR	Drew County	7	6
05045	AR	Faulkner County	2	2
05047	AR	Franklin County	2	6
05049	AR	Fulton County	9	9
05051	AR	Garland County	3	3
05053	AR	Grant County	2	2
05055	AR	Greene County	6	4
05057	AR	Hempstead County	6	6
05059	AR	Hot Spring County	6	6
05061	AR	Howard County	7	6
05063	AR	Independence County	7	7
05065	AR	Izard County	9	9
05067	AR	Jackson County	6	6
05069	AR	Jefferson County	3	3
05071	AR	Johnson County	6	7
05073	AR	Lafayette County	8	8
05075	AR	Lawrence County	6	6
05077	AR	Lee County	6	7
05079	AR	Lincoln County	3	3
05081	AR	Little River County	6	3
05083	AR	Logan County	6	6
05085	AR	Lonoke County	2	2
05087	AR	Madison County	2	2
05089	AR	Marion County	9	9
05091	AR	Miller County	3	3
05093	AR	Mississippi County	4	4
05095	AR	Monroe County	7	7
05097	AR	Montgomery County	8	8
05099	AR	Nevada County	7	7
05101	AR	Newton County	9	9
05103	AR	Ouachita County	7	7
05105	AR	Perry County	2	2
05107	AR	Phillips County	7	6
05109	AR	Pike County	9	9
05111	AR	Poinsett County	3	3
05113	AR	Polk County	7	7
05115	AR	Pope County	5	5
05117	AR	Prairie County	8	8
05119	AR	Pulaski County	2	2
05121	AR	Randolph County	7	7
05123	AR	St. Francis County	6	6
05125	AR	Saline County	2	2
05127	AR	Scott County	6	6
05129	AR	Searcy County	9	9
05131	AR	Sebastian County	2	2
05133	AR	Sevier County	7	6
05135	AR	Sharp County	7	7
05137	AR	Stone County	9	9
05139	AR	Union County	5	7
05141	AR	Van Buren County	8	8
05143	AR	Washington County	2	2
05145	AR	White County	4	4
05147	AR	Woodruff County	9	9
05149	AR	Yell County	6	6
06000	CA	California		
06001	CA	Alameda County	1	1
06003	CA	Alpine County	8	8
06005	CA	Amador County	6	6
06007	CA	Butte County	3	3
06009	CA	Calaveras County	6	6
06011	CA	Colusa County	6	6
06013	CA	Contra Costa County	1	1
06015	CA	Del Norte County	7	7
06017	CA	El Dorado County	1	1
06019	CA	Fresno County	2	2
06021	CA	Glenn County	6	6
06023	CA	Humboldt County	5	5
06025	CA	Imperial County	3	3
06027	CA	Inyo County	7	7
06029	CA	Kern County	2	2
06031	CA	Kings County	3	3
06033	CA	Lake County	4	4
06035	CA	Lassen County	6	7
06037	CA	Los Angeles County	1	1
06039	CA	Madera County	3	3
06041	CA	Marin County	1	1
06043	CA	Mariposa County	8	8
06045	CA	Mendocino County	4	4
06047	CA	Merced County	3	2
06049	CA	Modoc County	6	6
06051	CA	Mono County	7	7
06053	CA	Monterey County	2	2
06055	CA	Napa County	3	3
06057	CA	Nevada County	4	4
06059	CA	Orange County	1	1
06061	CA	Placer County	1	1
06063	CA	Plumas County	7	7
06065	CA	Riverside County	1	1
06067	CA	Sacramento County	1	1
06069	CA	San Benito County	1	1
06071	CA	San Bernardino County	1	1
06073	CA	San Diego County	1	1
06075	CA	San Francisco County	1	1
06077	CA	San Joaquin County	2	2
06079	CA	San Luis Obispo County	3	2
06081	CA	San Mateo County	1	1
06083	CA	Santa Barbara County	2	2
06085	CA	Santa Clara County	1	1
06087	CA	Santa Cruz County	2	2
06089	CA	Shasta County	3	3
06091	CA	Sierra County	8	8
06093	CA	Siskiyou County	7	6
06095	CA	Solano County	2	2
06097	CA	Sonoma County	2	2
06099	CA	Stanislaus County	2	2
06101	CA	Sutter County	3	3
06103	CA	Tehama County	4	4
06105	CA	Trinity County	8	8
06107	CA	Tulare County	2	2
06109	CA	Tuolumne County	4	4
06111	CA	Ventura County	2	2
06113	CA	Yolo County	1	1
06115	CA	Yuba County	3	3
08000	CO	Colorado		
08001	CO	Adams County	1	1
08003	CO	Alamosa County	7	7
08005	CO	Arapahoe County	1	1
08007	CO	Archuleta County	7	7
08009	CO	Baca County	9	9
08011	CO	Bent County	7	7
08013	CO	Boulder County	2	2
08014	CO	Broomfield County	1	1
08015	CO	Chaffee County	7	7
08017	CO	Cheyenne County	9	9
08019	CO	Clear Creek County	1	1
08021	CO	Conejos County	9	9
08023	CO	Costilla County	9	9
08025	CO	Crowley County	8	8
08027	CO	Custer County	8	8
08029	CO	Delta County	6	6
08031	CO	Denver County	1	1
08033	CO	Dolores County	9	9
08035	CO	Douglas County	1	1
08037	CO	Eagle County	5	5
08039	CO	Elbert County	1	1
08041	CO	El Paso County	2	2
08043	CO	Fremont County	4	4
08045	CO	Garfield County	5	5
08047	CO	Gilpin County	1	1
08049	CO	Grand County	8	7
08051	CO	Gunnison County	7	7
08053	CO	Hinsdale County	9	9
08055	CO	Huerfano County	6	6
08057	CO	Jackson County	9	9
08059	CO	Jefferson County	1	1
08061	CO	Kiowa County	9	9
08063	CO	Kit Carson County	7	7
08065	CO	Lake County	7	6
08067	CO	La Plata County	6	4
08069	CO	Larimer County	2	2
08071	CO	Las Animas County	7	7
08073	CO	Lincoln County	8	8
08075	CO	Logan County	7	7
08077	CO	Mesa County	3	3
08079	CO	Mineral County	9	9
08081	CO	Moffat County	7	7
08083	CO	Montezuma County	6	6
08085	CO	Montrose County	7	4
08087	CO	Morgan County	6	6
08089	CO	Otero County	6	6
08091	CO	Ouray County	9	9
08093	CO	Park County	1	1
08095	CO	Phillips County	9	9
08097	CO	Pitkin County	7	7
08099	CO	Prowers County	7	7
08101	CO	Pueblo County	3	3
08103	CO	Rio Blanco County	9	9
08105	CO	Rio Grande County	7	7
08107	CO	Routt County	7	7
08109	CO	Saguache County	9	9
08111	CO	San Juan County	9	9
08113	CO	San Miguel County	9	9
08115	CO	Sedgwick County	9	9
08117	CO	Summit County	7	5
08119	CO	Teller County	2	2
08121	CO	Washington County	9	9
08123	CO	Weld County	3	2
08125	CO	Yuma County	7	7
09000	CT	Connecticut		
09001	CT	Fairfield County	2	2
09003	CT	Hartford County	1	1
09005	CT	Litchfield County	4	4
09007	CT	Middlesex County	1	1
09009	CT	New Haven County	2	2
09011	CT	New London County	2	2
09013	CT	Tolland County	1	1
09015	CT	Windham County	4	2
10000	DE	Delaware		
10001	DE	Kent County	3	3
10003	DE	New Castle County	1	1
10005	DE	Sussex County	4	2
11000	DC	District of Columbia		
11001	DC	District of Columbia	1	1
12000	FL	Florida		
12001	FL	Alachua County	3	2
12003	FL	Baker County	1	1
12005	FL	Bay County	3	3
12007	FL	Bradford County	6	6
12009	FL	Brevard County	2	2
12011	FL	Broward County	1	1
12013	FL	Calhoun County	6	6
12015	FL	Charlotte County	3	3
12017	FL	Citrus County	4	3
12019	FL	Clay County	1	1
12021	FL	Collier County	2	2
12023	FL	Columbia County	6	4
12027	FL	DeSoto County	6	6
12029	FL	Dixie County	6	6
12031	FL	Duval County	1	1
12033	FL	Escambia County	2	2
12035	FL	Flagler County	4	2
12037	FL	Franklin County	6	6
12039	FL	Gadsden County	2	2
12041	FL	Gilchrist County	3	2
12043	FL	Glades County	6	6
12045	FL	Gulf County	6	3
12047	FL	Hamilton County	6	6
12049	FL	Hardee County	6	6
12051	FL	Hendry County	4	4
12053	FL	Hernando County	1	1
12055	FL	Highlands County	4	3
12057	FL	Hillsborough County	1	1
12059	FL	Holmes County	6	6
12061	FL	Indian River County	3	3
12063	FL	Jackson County	6	6
12065	FL	Jefferson County	2	2
12067	FL	Lafayette County	8	9
12069	FL	Lake County	1	1
12071	FL	Lee County	2	2
12073	FL	Leon County	2	2
12075	FL	Levy County	8	6
12077	FL	Liberty County	8	8
12079	FL	Madison County	6	6
12081	FL	Manatee County	2	2
12083	FL	Marion County	2	2
12085	FL	Martin County	2	2
12086	FL	Miami-Dade County	1	1
12087	FL	Monroe County	4	4
12089	FL	Nassau County	1	1
12091	FL	Okaloosa County	3	3
12093	FL	Okeechobee County	4	4
12095	FL	Orange County	1	1
12097	FL	Osceola County	1	1
12099	FL	Palm Beach County	1	1
12101	FL	Pasco County	1	1
12103	FL	Pinellas County	1	1
12105	FL	Polk County	2	2
12107	FL	Putnam County	4	4
12109	FL	St. Johns County	1	1
12111	FL	St. Lucie County	2	2
12113	FL	Santa Rosa County	2	2
12115	FL	Sarasota County	2	2
12117	FL	Seminole County	1	1
12119	FL	Sumter County	4	3
12121	FL	Suwannee County	6	6
12123	FL	Taylor County	6	6
12125	FL	Union County	6	6
12127	FL	Volusia County	2	2
12129	FL	Wakulla County	2	2
12131	FL	Walton County	6	3
12133	FL	Washington County	6	6
13000	GA	Georgia		
13001	GA	Appling County	7	7
13003	GA	Atkinson County	9	9
13005	GA	Bacon County	7	7
13007	GA	Baker County	3	3
13009	GA	Baldwin County	4	4
13011	GA	Banks County	8	8
13013	GA	Barrow County	1	1
13015	GA	Bartow County	1	1
13017	GA	Ben Hill County	7	7
13019	GA	Berrien County	6	6
13021	GA	Bibb County	3	3
13023	GA	Bleckley County	6	6
13025	GA	Brantley County	3	3
13027	GA	Brooks County	3	3
13029	GA	Bryan County	2	2
13031	GA	Bulloch County	4	4
13033	GA	Burke County	2	2
13035	GA	Butts County	1	1
13037	GA	Calhoun County	8	8
13039	GA	Camden County	4	4
13043	GA	Candler County	7	7
13045	GA	Carroll County	1	1
13047	GA	Catoosa County	2	2
